position_rank,player_name,position,total_points,last_3_weeks_avg,week_11,week_12,week_13
104,Adam Prentice,RB,3.0,0.67,1.0,NULL,1.0
110,Rasheen Ali,RB,2.0,0.67,1.0,NULL,1.0
29,Noah Fant,TE,37.0,0.67,2.0,0.0,0.0
37,Tyler Higbee,TE,28.0,0.67,2.0,NULL,NULL
38,Davis Allen,TE,26.0,0.67,NULL,2.0,0.0
39,Jonnu Smith,TE,26.0,0.67,NULL,2.0,0.0
46,Michael Mayer,TE,21.0,0.67,1.0,1.0,NULL
49,Brock Wright,TE,19.0,0.67,0.0,2.0,NULL
58,Ja'Tavion Sanders,TE,14.0,0.67,2.0,0.0,NULL
61,Luke Musgrave,TE,10.0,0.67,0.0,0.0,2.0
66,Noah Gray,TE,9.0,0.67,0.0,2.0,NULL
83,Charlie Woerner,TE,3.0,0.67,NULL,2.0,NULL
90,Quintin Morris,TE,2.0,0.67,1.0,NULL,1.0
43,Rashid Shaheed,WR,61.0,0.67,2.0,0.0,0.0
50,Brian Thomas,WR,53.0,0.67,NULL,NULL,2.0
95,Matthew Golden,WR,26.0,0.67,2.0,NULL,NULL
106,Chris Moore,WR,22.0,0.67,2.0,NULL,NULL
124,Cody White,WR,14.0,0.67,NULL,NULL,2.0
133,Ben Skowronek,WR,11.0,0.67,NULL,2.0,NULL
136,Dont'e Thornton,WR,10.0,0.67,NULL,1.0,1.0
147,Konata Mumpfield,WR,8.0,0.67,NULL,2.0,NULL
171,Deven Thompkins,WR,2.0,0.67,NULL,NULL,2.0
172,Jacoby Jones,WR,2.0,0.67,2.0,NULL,NULL
51,Trey Lance,QB,3.0,0.33,1.0,NULL,0.0
41,Alvin Kamara,RB,62.0,0.33,NULL,1.0,NULL
60,Emari Demercado,RB,32.0,0.33,1.0,NULL,NULL
66,Isaiah Davis,RB,21.0,0.33,1.0,0.0,NULL
72,Zavier Scott,RB,17.0,0.33,NULL,NULL,1.0
78,Jerome Ford,RB,13.0,0.33,0.0,0.0,1.0
80,Raheem Mostert,RB,12.0,0.33,0.0,1.0,0.0
88,Andrew Beck,RB,7.0,0.33,NULL,1.0,NULL
97,Tyler Badie,RB,6.0,0.33,0.0,NULL,1.0
98,Will Shipley,RB,5.0,0.33,NULL,NULL,1.0
101,Jaylen Wright,RB,4.0,0.33,0.0,NULL,1.0
102,Kaleb Johnson,RB,4.0,0.33,1.0,NULL,0.0
114,Evan Hull,RB,1.0,0.33,NULL,NULL,1.0
45,Charlie Kolar,TE,21.0,0.33,NULL,NULL,1.0
59,Elijah Higgins,TE,13.0,0.33,0.0,NULL,1.0
60,Taysom Hill,TE,13.0,0.33,NULL,1.0,0.0
63,Drew Sample,TE,9.0,0.33,NULL,0.0,1.0
65,Julian Hill,TE,9.0,0.33,1.0,NULL,NULL
70,John FitzPatrick,TE,8.0,0.33,0.0,1.0,NULL
82,Cade Stover,TE,3.0,0.33,NULL,NULL,1.0
87,Foster Moreau,TE,2.0,0.33,NULL,NULL,1.0
92,Colson Yankoff,TE,1.0,0.33,0.0,NULL,1.0
94,Payne Durham,TE,1.0,0.33,NULL,NULL,1.0
64,Jalen Nailor,WR,42.0,0.33,1.0,NULL,NULL
67,Elic Ayomanor,WR,40.0,0.33,1.0,NULL,0.0
85,Ricky Pearsall,WR,31.0,0.33,0.0,0.0,1.0
89,Olamide Zaccheaus,WR,29.0,0.33,NULL,0.0,1.0
92,Calvin Ridley,WR,27.0,0.33,1.0,NULL,NULL
98,Jaylin Noel,WR,24.0,0.33,1.0,0.0,NULL
102,Roman Wilson,WR,24.0,0.33,1.0,NULL,NULL
116,Jaylin Lane,WR,18.0,0.33,1.0,NULL,NULL
120,Demarcus Robinson,WR,15.0,0.33,1.0,0.0,0.0
123,Brandin Cooks,WR,14.0,0.33,NULL,NULL,1.0
135,Curtis Samuel,WR,11.0,0.33,1.0,NULL,NULL
138,Jordan Whittington,WR,10.0,0.33,0.0,1.0,NULL
139,Allen Lazard,WR,9.0,0.33,NULL,0.0,1.0
140,Brycen Tremayne,WR,9.0,0.33,1.0,NULL,NULL
146,Jimmy Horn,WR,8.0,0.33,NULL,1.0,NULL
160,Austin Trammell,WR,4.0,0.33,1.0,NULL,NULL
166,Gage Larvadain,WR,3.0,0.33,NULL,NULL,1.0
173,Jalin Hyatt,WR,2.0,0.33,1.0,NULL,NULL
179,Cedrick Wilson,WR,1.0,0.33,NULL,NULL,1.0
180,Dante Pettis,WR,1.0,0.33,NULL,1.0,NULL
182,Dylan Drummond,WR,1.0,0.33,NULL,1.0,0.0
185,Mason Kinsey,WR,1.0,0.33,1.0,NULL,NULL
189,Xavier Weaver,WR,1.0,0.33,1.0,0.0,NULL
24,Mac Jones,QB,152.0,0.0,0.0,NULL,0.0
29,Jayden Daniels,QB,125.0,0.0,NULL,NULL,NULL
31,Spencer Rattler,QB,111.0,0.0,NULL,NULL,NULL
33,Kyler Murray,QB,86.0,0.0,NULL,NULL,NULL
34,Carson Wentz,QB,78.0,0.0,NULL,NULL,NULL
40,Jake Browning,QB,58.0,0.0,NULL,0.0,NULL
41,Russell Wilson,QB,52.0,0.0,NULL,NULL,NULL
46,Tyler Huntley,QB,23.0,0.0,NULL,NULL,NULL
48,Andy Dalton,QB,13.0,0.0,NULL,NULL,NULL
49,Joe Milton,QB,7.0,0.0,NULL,NULL,NULL
52,Cooper Rush,QB,2.0,0.0,NULL,NULL,NULL
53,Quinn Ewers,QB,2.0,0.0,NULL,NULL,NULL
55,Mitchell Trubisky,QB,1.0,0.0,NULL,NULL,NULL
56,Tyson Bagent,QB,1.0,0.0,NULL,NULL,NULL
57,Zach Wilson,QB,1.0,0.0,NULL,NULL,NULL
58,Adrian Martinez,QB,0.0,0.0,NULL,NULL,NULL
59,Anthony Richardson,QB,0.0,0.0,NULL,NULL,NULL
60,Drew Lock,QB,0.0,0.0,NULL,NULL,NULL
61,Gardner Minshew,QB,0.0,0.0,NULL,NULL,NULL
62,Jarrett Stidham,QB,0.0,0.0,NULL,NULL,NULL
63,Jimmy Garoppolo,QB,0.0,0.0,NULL,NULL,NULL
64,Joshua Dobbs,QB,0.0,0.0,NULL,NULL,NULL
65,Kedon Slovis,QB,0.0,0.0,NULL,0.0,NULL
66,Kyle Allen,QB,0.0,0.0,NULL,NULL,NULL
67,Nick Mullens,QB,0.0,0.0,NULL,NULL,0.0
68,Riley Leonard,QB,0.0,0.0,NULL,NULL,NULL
69,Tanner McKee,QB,0.0,0.0,NULL,NULL,NULL
70,Jalen Milroe,QB,-1.0,0.0,NULL,NULL,NULL
71,Kenny Pickett,QB,-1.0,0.0,NULL,NULL,NULL
24,Cam Skattebo,RB,99.0,0.0,NULL,NULL,NULL
25,J.K. Dobbins,RB,99.0,0.0,NULL,NULL,NULL
48,Omarion Hampton,RB,52.0,0.0,NULL,NULL,NULL
54,Justice Hill,RB,39.0,0.0,NULL,NULL,NULL
63,Kendre Miller,RB,23.0,0.0,NULL,NULL,NULL
64,James Conner,RB,22.0,0.0,NULL,NULL,NULL
70,Trey Benson,RB,18.0,0.0,NULL,NULL,NULL
71,Miles Sanders,RB,17.0,0.0,NULL,NULL,NULL
77,Antonio Gibson,RB,13.0,0.0,NULL,NULL,NULL
79,Braelon Allen,RB,12.0,0.0,NULL,NULL,NULL
81,George Holani,RB,11.0,0.0,0.0,NULL,NULL
82,Terrell Jennings,RB,11.0,0.0,NULL,0.0,NULL
84,Brittain Brown,RB,9.0,0.0,NULL,NULL,NULL
86,Cam Akers,RB,8.0,0.0,NULL,NULL,NULL
87,Ameer Abdullah,RB,7.0,0.0,NULL,NULL,NULL
89,Austin Ekeler,RB,6.0,0.0,NULL,NULL,NULL
91,DJ Giddens,RB,6.0,0.0,NULL,NULL,NULL
93,Najee Harris,RB,6.0,0.0,NULL,NULL,NULL
94,Raheim Sanders,RB,6.0,0.0,NULL,NULL,NULL
95,Scott Matlock,RB,6.0,0.0,NULL,NULL,NULL
96,Trevor Etienne,RB,6.0,0.0,0.0,NULL,0.0
99,AJ Dillon,RB,4.0,0.0,NULL,NULL,NULL
100,Jaydon Blue,RB,4.0,0.0,NULL,NULL,NULL
103,Nathan Carter,RB,4.0,0.0,NULL,NULL,NULL
105,Alec Ingold,RB,3.0,0.0,NULL,NULL,NULL
106,Dameon Pierce,RB,2.0,0.0,NULL,NULL,NULL
107,Hassan Haskins,RB,2.0,0.0,NULL,NULL,NULL
108,Jacardia Wright,RB,2.0,0.0,NULL,NULL,NULL
109,Julius Chestnut,RB,2.0,0.0,NULL,0.0,NULL
111,Zamir White,RB,2.0,0.0,NULL,NULL,NULL
112,British Brooks,RB,1.0,0.0,NULL,NULL,NULL
113,Dylan Laube,RB,1.0,0.0,NULL,NULL,NULL
115,Jacob Saylors,RB,1.0,0.0,NULL,NULL,NULL
116,Josh Williams,RB,1.0,0.0,NULL,NULL,NULL
117,Roschon Johnson,RB,1.0,0.0,NULL,NULL,NULL
118,Tahj Brooks,RB,1.0,0.0,0.0,0.0,NULL
119,Amar Johnson,RB,0.0,0.0,0.0,NULL,NULL
120,C.J. Ham,RB,0.0,0.0,NULL,NULL,NULL
121,Clyde Edwards-Helaire,RB,0.0,0.0,NULL,0.0,NULL
122,Craig Reynolds,RB,0.0,0.0,NULL,NULL,NULL
123,D'Ernest Johnson,RB,0.0,0.0,0.0,NULL,NULL
124,Dare Ogunbowale,RB,0.0,0.0,0.0,NULL,NULL
125,DeeJay Dallas,RB,0.0,0.0,NULL,NULL,NULL
126,Kendall Milton,RB,0.0,0.0,0.0,NULL,NULL
127,Myles Gaskin,RB,0.0,0.0,NULL,NULL,0.0
128,Nyheim Hines,RB,0.0,0.0,NULL,NULL,NULL
129,Owen Wright,RB,0.0,0.0,NULL,0.0,NULL
130,Patrick Ricard,RB,0.0,0.0,NULL,NULL,NULL
131,Reggie Gilliam,RB,0.0,0.0,NULL,0.0,NULL
132,Sione Vaki,RB,0.0,0.0,NULL,NULL,NULL
